Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Is_Return,TotalAmount
556917,22070,SMALL RED RETROSPOT MUG IN BOX ,36,2011-06-15 13:37:00,3.39,12415,Australia,False,122.04
553546,21195,PINK  HONEYCOMB PAPER BALL ,48,2011-05-17 15:42:00,1.69,12415,Australia,False,81.12
569650,23510,MINI PLAYING CARDS GYMKHANA,250,2011-10-05 12:44:00,0.36,12415,Australia,False,90.0
561040,84988,SET OF 72 PINK HEART PAPER DOILIES,12,2011-07-24 12:05:00,1.45,12431,Australia,False,17.4
578459,22580,ADVENT CALENDAR GINGHAM SACK,12,2011-11-24 12:30:00,5.95,12388,Australia,False,71.4
569650,22630,DOLLY GIRL LUNCH BOX,64,2011-10-05 12:44:00,1.65,12415,Australia,False,105.6
536009,22654,DELUXE SEWING KIT ,40,2010-11-29 15:07:00,4.95,12415,Australia,False,198.0
C560540,23256,CHILDRENS CUTLERY SPACEBOY ,-1,2011-07-19 12:26:00,4.15,12415,Australia,True,-4.15
543989,22842,BISCUIT TIN VINTAGE RED,12,2011-02-15 09:52:00,5.95,12415,Australia,False,71.4
513987,21980,PACK OF 12 RED SPOTTY TISSUES ,48,2010-06-30 08:30:00,0.29,12415,Australia,False,13.919999999999998
576394,21731,RED TOADSTOOL LED NIGHT LIGHT,144,2011-11-15 10:32:00,1.45,12415,Australia,False,208.8
540700,21249,WOODLAND  HEIGHT CHART STICKERS ,6,2011-01-11 09:47:00,2.95,12393,Australia,False,17.700000000000003
526756,47566,PARTY BUNTING,5,2010-10-13 10:29:00,4.65,12424,Australia,False,23.25
536009,21500,PINK POLKADOT WRAP ,200,2010-11-29 15:07:00,0.34,12415,Australia,False,68.0
569722,22423,REGENCY CAKESTAND 3 TIER,4,2011-10-06 09:31:00,12.75,12431,Australia,False,51.0
513987,22708,WRAP DOLLY GIRL,50,2010-06-30 08:30:00,0.42,12415,Australia,False,21.0
545475,20676,RED RETROSPOT BOWL,144,2011-03-03 10:59:00,1.06,12415,Australia,False,152.64
559919,22045,SPACEBOY GIFT WRAP,200,2011-07-13 15:30:00,0.34,12415,Australia,False,68.0
541271,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,6,2011-01-17 11:12:00,2.95,12388,Australia,False,17.700000000000003
530272,22244,3 HOOK HANGER MAGIC GARDEN,12,2010-11-02 11:52:00,1.95,12389,Australia,False,23.4
513987,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,12,2010-06-30 08:30:00,4.95,12415,Australia,False,59.400000000000006
569722,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-10-06 09:31:00,2.08,12431,Australia,False,20.8
